Date,Province,Food_Item,price
2018-02-01,Alberta,"Dry beans and legumes, 900 grams ",3.19
2018-02-01,Alberta,"Dry or fresh pasta, 500 grams",2.38
2018-02-01,Alberta,"Eggs, 1 dozen",3.53
2018-02-01,Alberta,"Flatbread and pita, 500 grams ",3.76
2018-02-01,Alberta,"Frozen broccoli, 500 grams",3.16
2018-02-01,Alberta,"Frozen corn, 750 grams ",2.8
2018-02-01,Alberta,"Frozen french fried potatoes, 750 grams",2.29
2018-02-01,Alberta,"Frozen green beans, 750 grams",3.11
2018-02-01,Alberta,"Frozen mixed vegetables, 750 grams ",3.16
2018-02-01,Alberta,"Frozen peas, 750 grams",2.9
2018-02-01,Alberta,"Frozen pizza, 390 grams",3.92
2018-02-01,Alberta,"Frozen spinach, 300 grams",1.72
2018-02-01,Alberta,"Frozen strawberries, 600 grams",4.18
2018-02-01,Alberta,"Grapes, per kilogram",7.04
2018-02-01,Alberta,"Ground beef, per kilogram",8.91
2018-02-01,Alberta,"Hummus, 227 grams",3.54
2018-02-01,Alberta,"Iceberg lettuce, unit",2.03
2018-02-01,Alberta,"Infant formula, 900 grams ",28.05
2018-02-01,Alberta,"Ketchup, 1 litre",3.36
2018-02-01,Alberta,"Laundry detergent, 4.43 litres",13.52
2018-02-01,Alberta,"Lemons, unit",1.14
2018-02-01,Alberta,"Limes, unit",0.52
2018-02-01,Alberta,"Margarine, 907 grams",4.15
2018-02-01,Alberta,"Mayonnaise, 890 millilitres ",4.6
2018-02-01,Alberta,"Meatless burgers, 226 grams",4.25
2018-02-01,Alberta,"Milk, 1 litre",2.19
2018-02-01,Alberta,"Milk, 2 litres",3.91
2018-02-01,Alberta,"Milk, 4 litres",4.86
2018-02-01,Alberta,"Mushrooms, 227 grams",1.89
2018-02-01,Alberta,"Nut milk, 1.89 litres",3.95
2018-02-01,Alberta,"Olive oil, 1 litre",7.94
2018-02-01,Alberta,"Onions, 1.36 kilograms",3.11
2018-02-01,Alberta,"Onions, per kilogram",3.37
2018-02-01,Alberta,"Orange juice, 2 litres",3.93
2018-02-01,Alberta,"Oranges, 1.36 kilograms",4.47
2018-02-01,Alberta,"Oranges, per kilogram",3.19
2018-02-01,Alberta,"Pasta sauce, 650 millilitres",2.04
2018-02-01,Alberta,"Peanut butter, 1 kilogram",5.01
2018-02-01,Alberta,"Peanuts, 450 grams",3.35
2018-02-01,Alberta,"Pears, per kilogram",3.45
2018-02-01,Alberta,"Peppers, per kilogram",6.63
2018-02-01,Alberta,"Pork loin cuts, per kilogram",8.03
2018-02-01,Alberta,"Pork rib cuts, per kilogram",10.21
2018-02-01,Alberta,"Pork shoulder cuts, per kilogram",6.71
2018-02-01,Alberta,"Potatoes, 4.54 kilograms",6.02
2018-02-01,Alberta,"Potatoes, per kilogram",2.88
2018-02-01,Alberta,"Roasted or ground coffee, 340 grams",5.17
2018-02-01,Alberta,"Romaine lettuce, unit",2.13
2018-02-01,Alberta,"Salad dressing, 475 millilitres",2.72
2018-02-01,Alberta,"Salad greens, 142 grams",4.15
2018-02-01,Alberta,"Salmon, per kilogram",20.8
2018-02-01,Alberta,"Salsa, 418 millilitres",3.22
2018-02-01,Alberta,"Shampoo, 400 millilitres",5.12
2018-02-01,Alberta,"Shrimp, 300 grams",7.86
2018-02-01,Alberta,"Soy milk, 1.89 litres",3.72
2018-02-01,Alberta,"Squash, per kilogram",3.48
2018-02-01,Alberta,"Strawberries, 454 grams",3.7
2018-02-01,Alberta,"Sunflower seeds, 400 grams ",3.6
2018-02-01,Alberta,"Sweet potatoes, per kilogram",3.27
2018-02-01,Alberta,Tea (20 bags),3.58
2018-02-01,Alberta,"Tofu, 350 grams ",2.02
2018-02-01,Alberta,"Tomatoes, per kilogram",4.54
2018-02-01,Alberta,"Toothpaste, 100 millilitres",2.97
2018-02-01,Alberta,"Vegetable oil, 3 litres",9.2
2018-02-01,Alberta,"Wheat flour, 2.5 kilograms",4.45
2018-02-01,Alberta,"White bread, 675 grams",2.76
2018-02-01,Alberta,"White rice, 2 kilograms",7.33
2018-02-01,Alberta,"White sugar, 2 kilograms",2.94
2018-02-01,Alberta,"Whole chicken, per kilogram",6.37
2018-02-01,Alberta,"Wieners, 400 grams",3.33
2018-02-01,Alberta,"Yogurt, 500 grams",2.71
2018-02-01,British Columbia,"Almonds, 200 grams",4.41
2018-02-01,British Columbia,"Apple juice, 2 litres",2.75
2018-02-01,British Columbia,"Apples, per kilogram",4.07
2018-02-01,British Columbia,"Avocado, unit",1.66
2018-02-01,British Columbia,"Baby food, 128 millilitres",1.26
2018-02-01,British Columbia,"Bacon, 500 grams",6.03
2018-02-01,British Columbia,"Bananas, per kilogram",1.6
2018-02-01,British Columbia,"Beef rib cuts, per kilogram",21.37
2018-02-01,British Columbia,"Beef stewing cuts, per kilogram",13.78
2018-02-01,British Columbia,"Beef striploin cuts, per kilogram",22.04
2018-02-01,British Columbia,"Beef top sirloin cuts, per kilogram",14.92
2018-02-01,British Columbia,"Block cheese, 500 grams",6.28
2018-02-01,British Columbia,"Broccoli, unit",2.16
2018-02-01,British Columbia,"Brown rice, 900 grams ",4.6
2018-02-01,British Columbia,"Butter, 454 grams",4.29
2018-02-01,British Columbia,"Cabbage, per kilogram",2
2018-02-01,British Columbia,"Canned baked beans, 398 millilitres",1.23
2018-02-01,British Columbia,"Canned beans and lentils, 540 millilitres",1.19
2018-02-01,British Columbia,"Canned corn, 341 millilitres",1.11
2018-02-01,British Columbia,"Canned peach, 398 millilitres",2.35
2018-02-01,British Columbia,"Canned pear, 398 millilitres",2.32
2018-02-01,British Columbia,"Canned salmon, 213 grams",3.37
2018-02-01,British Columbia,"Canned soup, 284 millilitres",1.12
2018-02-01,British Columbia,"Canned tomatoes, 796 millilitres",1.33
2018-02-01,British Columbia,"Canned tuna, 170 grams",1.73
2018-02-01,British Columbia,"Canola oil, 3 litres",6.18
2018-02-01,British Columbia,"Cantaloupe, unit",2.36
2018-02-01,British Columbia,"Carrots, 1.36 kilograms",3.55
2018-02-01,British Columbia,"Celery, unit",2
2018-02-01,British Columbia,"Cereal, 400 grams",3.14
2018-02-01,British Columbia,"Chicken breasts, per kilogram",12.87
2018-02-01,British Columbia,"Chicken drumsticks, per kilogram",5.57
2018-02-01,British Columbia,"Chicken thigh, per kilogram",9.25
2018-02-01,British Columbia,"Cookies and sweet biscuits, 300 grams ",2.54
2018-02-01,British Columbia,"Crackers and crisp breads, 200 grams ",2.5
2018-02-01,British Columbia,"Cream, 1 litre",3.27
2018-02-01,British Columbia,"Cucumber, unit",2.01
2018-02-01,British Columbia,"Deodorant, 85 grams",4.65
2018-02-01,British Columbia,"Dried lentils, 900 grams",3.54
2018-02-01,British Columbia,"Dry beans and legumes, 900 grams ",3.11
2018-02-01,British Columbia,"Dry or fresh pasta, 500 grams",2.4
2018-02-01,British Columbia,"Eggs, 1 dozen",3.93
2018-02-01,British Columbia,"Flatbread and pita, 500 grams ",3.49
2018-02-01,British Columbia,"Frozen broccoli, 500 grams",3.17
2018-02-01,British Columbia,"Frozen corn, 750 grams ",2.97
2018-02-01,British Columbia,"Frozen french fried potatoes, 750 grams",2.3
2018-02-01,British Columbia,"Frozen green beans, 750 grams",3.1
2018-02-01,British Columbia,"Frozen mixed vegetables, 750 grams ",3.12
2018-02-01,British Columbia,"Frozen peas, 750 grams",3.09
2018-02-01,British Columbia,"Frozen pizza, 390 grams",3.97
2018-02-01,British Columbia,"Frozen spinach, 300 grams",1.82
2018-02-01,British Columbia,"Frozen strawberries, 600 grams",4.23
2018-02-01,British Columbia,"Grapes, per kilogram",7.39
2018-02-01,British Columbia,"Ground beef, per kilogram",8.66
2018-02-01,British Columbia,"Hummus, 227 grams",3.31
2018-02-01,British Columbia,"Iceberg lettuce, unit",2.01
2018-02-01,British Columbia,"Infant formula, 900 grams ",30.02
2018-02-01,British Columbia,"Ketchup, 1 litre",3.35
2018-02-01,British Columbia,"Laundry detergent, 4.43 litres",13.25
2018-02-01,British Columbia,"Lemons, unit",1.17
2018-02-01,British Columbia,"Limes, unit",0.53
2018-02-01,British Columbia,"Margarine, 907 grams",4.06
2018-02-01,British Columbia,"Mayonnaise, 890 millilitres ",4.6
2018-02-01,British Columbia,"Meatless burgers, 226 grams",4.27
2018-02-01,British Columbia,"Milk, 1 litre",2.31
2018-02-01,British Columbia,"Milk, 2 litres",3.89
2018-02-01,British Columbia,"Milk, 4 litres",4.83
2018-02-01,British Columbia,"Mushrooms, 227 grams",1.99
2018-02-01,British Columbia,"Nut milk, 1.89 litres",3.96
2018-02-01,British Columbia,"Olive oil, 1 litre",8.42
2018-02-01,British Columbia,"Onions, 1.36 kilograms",3.17
2018-02-01,British Columbia,"Onions, per kilogram",3.26
2018-02-01,British Columbia,"Orange juice, 2 litres",3.8
2018-02-01,British Columbia,"Oranges, 1.36 kilograms",4.55
2018-02-01,British Columbia,"Oranges, per kilogram",3.23
2018-02-01,British Columbia,"Pasta sauce, 650 millilitres",2.08
2018-02-01,British Columbia,"Peanut butter, 1 kilogram",5.17
2018-02-01,British Columbia,"Peanuts, 450 grams",3.35
2018-02-01,British Columbia,"Pears, per kilogram",3.6
2018-02-01,British Columbia,"Peppers, per kilogram",7.3
2018-02-01,British Columbia,"Pork loin cuts, per kilogram",7.72
2018-02-01,British Columbia,"Pork rib cuts, per kilogram",9.62
2018-02-01,British Columbia,"Pork shoulder cuts, per kilogram",7.32
2018-02-01,British Columbia,"Potatoes, 4.54 kilograms",5.53
2018-02-01,British Columbia,"Potatoes, per kilogram",2.92
2018-02-01,British Columbia,"Roasted or ground coffee, 340 grams",5.49
2018-02-01,British Columbia,"Romaine lettuce, unit",2.12
2018-02-01,British Columbia,"Salad dressing, 475 millilitres",2.59
2018-02-01,British Columbia,"Salad greens, 142 grams",4.48
2018-02-01,British Columbia,"Salmon, per kilogram",21.53
2018-02-01,British Columbia,"Salsa, 418 millilitres",3.2
2018-02-01,British Columbia,"Shampoo, 400 millilitres",5.16
2018-02-01,British Columbia,"Shrimp, 300 grams",7.83
2018-02-01,British Columbia,"Soy milk, 1.89 litres",3.69
2018-02-01,British Columbia,"Squash, per kilogram",3.57
2018-02-01,British Columbia,"Strawberries, 454 grams",3.94
2018-02-01,British Columbia,"Sunflower seeds, 400 grams ",3.77
2018-02-01,British Columbia,"Sweet potatoes, per kilogram",3.57
2018-02-01,British Columbia,Tea (20 bags),3.54
2018-02-01,British Columbia,"Tofu, 350 grams ",2.11
2018-02-01,British Columbia,"Tomatoes, per kilogram",4.71
2018-02-01,British Columbia,"Toothpaste, 100 millilitres",2.84
2018-02-01,British Columbia,"Vegetable oil, 3 litres",9.32
2018-02-01,British Columbia,"Wheat flour, 2.5 kilograms",4.52
2018-02-01,British Columbia,"White bread, 675 grams",2.85
2018-02-01,British Columbia,"White rice, 2 kilograms",7.26
2018-02-01,British Columbia,"White sugar, 2 kilograms",3.08
2018-02-01,British Columbia,"Whole chicken, per kilogram",6.61
2018-02-01,British Columbia,"Wieners, 400 grams",3.39
2018-02-01,British Columbia,"Yogurt, 500 grams",2.66
2018-02-01,Manitoba,"Almonds, 200 grams",4.49
2018-02-01,Manitoba,"Apple juice, 2 litres",2.54
2018-02-01,Manitoba,"Apples, per kilogram",3.8
2018-02-01,Manitoba,"Avocado, unit",1.53
2018-02-01,Manitoba,"Baby food, 128 millilitres",1.2
2018-02-01,Manitoba,"Bacon, 500 grams",6.03
2018-02-01,Manitoba,"Bananas, per kilogram",1.73
2018-02-01,Manitoba,"Beef rib cuts, per kilogram",21.19
2018-02-01,Manitoba,"Beef stewing cuts, per kilogram",13.3
2018-02-01,Manitoba,"Beef striploin cuts, per kilogram",22.78
2018-02-01,Manitoba,"Beef top sirloin cuts, per kilogram",13.95
2018-02-01,Manitoba,"Block cheese, 500 grams",5.96
2018-02-01,Manitoba,"Broccoli, unit",2.14
2018-02-01,Manitoba,"Brown rice, 900 grams ",4.19
2018-02-01,Manitoba,"Butter, 454 grams",4.08
2018-02-01,Manitoba,"Cabbage, per kilogram",1.92
2018-02-01,Manitoba,"Canned baked beans, 398 millilitres",1.18
2018-02-01,Manitoba,"Canned beans and lentils, 540 millilitres",1.17
2018-02-01,Manitoba,"Canned corn, 341 millilitres",1.09
2018-02-01,Manitoba,"Canned peach, 398 millilitres",2.33
2018-02-01,Manitoba,"Canned pear, 398 millilitres",2.27
2018-02-01,Manitoba,"Canned salmon, 213 grams",3.4
2018-02-01,Manitoba,"Canned soup, 284 millilitres",1.2
2018-02-01,Manitoba,"Canned tomatoes, 796 millilitres",1.24
2018-02-01,Manitoba,"Canned tuna, 170 grams",1.52
2018-02-01,Manitoba,"Canola oil, 3 litres",5.67
2018-02-01,Manitoba,"Cantaloupe, unit",2.32
2018-02-01,Manitoba,"Carrots, 1.36 kilograms",3.29
2018-02-01,Manitoba,"Celery, unit",1.83
2018-02-01,Manitoba,"Cereal, 400 grams",3.12
2018-02-01,Manitoba,"Chicken breasts, per kilogram",12.06
2018-02-01,Manitoba,"Chicken drumsticks, per kilogram",5
2018-02-01,Manitoba,"Chicken thigh, per kilogram",7.63
2018-02-01,Manitoba,"Cookies and sweet biscuits, 300 grams ",2.51
2018-02-01,Manitoba,"Crackers and crisp breads, 200 grams ",2.56
2018-02-01,Manitoba,"Cream, 1 litre",3.51
2018-02-01,Manitoba,"Cucumber, unit",1.79
2018-02-01,Manitoba,"Deodorant, 85 grams",4.62
2018-02-01,Manitoba,"Dried lentils, 900 grams",3.07
2018-02-01,Manitoba,"Dry beans and legumes, 900 grams ",3.03
2018-02-01,Manitoba,"Dry or fresh pasta, 500 grams",2.15
2018-02-01,Manitoba,"Eggs, 1 dozen",3.28
2018-02-01,Manitoba,"Flatbread and pita, 500 grams ",3.58
2018-02-01,Manitoba,"Frozen broccoli, 500 grams",3.15
2018-02-01,Manitoba,"Frozen corn, 750 grams ",2.73
2018-02-01,Manitoba,"Frozen french fried potatoes, 750 grams",2.2
2018-02-01,Manitoba,"Frozen green beans, 750 grams",3.05
2018-02-01,Manitoba,"Frozen mixed vegetables, 750 grams ",3.15
2018-02-01,Manitoba,"Frozen peas, 750 grams",2.8
2018-02-01,Manitoba,"Frozen pizza, 390 grams",3.82
2018-02-01,Manitoba,"Frozen spinach, 300 grams",1.85
2018-02-01,Manitoba,"Frozen strawberries, 600 grams",4.15
2018-02-01,Manitoba,"Grapes, per kilogram",7.15
2018-02-01,Manitoba,"Ground beef, per kilogram",8.53
2018-02-01,Manitoba,"Hummus, 227 grams",3.45
2018-02-01,Manitoba,"Iceberg lettuce, unit",2.08
2018-02-01,Manitoba,"Infant formula, 900 grams ",25.39
2018-02-01,Manitoba,"Ketchup, 1 litre",3.18
2018-02-01,Manitoba,"Laundry detergent, 4.43 litres",13.39
2018-02-01,Manitoba,"Lemons, unit",1.12
2018-02-01,Manitoba,"Limes, unit",0.53
2018-02-01,Manitoba,"Margarine, 907 grams",4.05
2018-02-01,Manitoba,"Mayonnaise, 890 millilitres ",4.51
2018-02-01,Manitoba,"Meatless burgers, 226 grams",4.23
2018-02-01,Manitoba,"Milk, 1 litre",1.62
2018-02-01,Manitoba,"Milk, 2 litres",3.39
2018-02-01,Manitoba,"Milk, 4 litres",4.73
2018-02-01,Manitoba,"Mushrooms, 227 grams",1.9
2018-02-01,Manitoba,"Nut milk, 1.89 litres",3.91
2018-02-01,Manitoba,"Olive oil, 1 litre",8.34
2018-02-01,Manitoba,"Onions, 1.36 kilograms",3.08
2018-02-01,Manitoba,"Onions, per kilogram",3.3
2018-02-01,Manitoba,"Orange juice, 2 litres",3.75
2018-02-01,Manitoba,"Oranges, 1.36 kilograms",4.56
2018-02-01,Manitoba,"Oranges, per kilogram",3.28
2018-02-01,Manitoba,"Pasta sauce, 650 millilitres",1.97
2018-02-01,Manitoba,"Peanut butter, 1 kilogram",4.73
2018-02-01,Manitoba,"Peanuts, 450 grams",3.27
2018-02-01,Manitoba,"Pears, per kilogram",3.64
2018-02-01,Manitoba,"Peppers, per kilogram",6.61
2018-02-01,Manitoba,"Pork loin cuts, per kilogram",7.54
2018-02-01,Manitoba,"Pork rib cuts, per kilogram",9.54
2018-02-01,Manitoba,"Pork shoulder cuts, per kilogram",6.63
2018-02-01,Manitoba,"Potatoes, 4.54 kilograms",6.43
2018-02-01,Manitoba,"Potatoes, per kilogram",2.92
2018-02-01,Manitoba,"Roasted or ground coffee, 340 grams",4.83
2018-02-01,Manitoba,"Romaine lettuce, unit",2.11
2018-02-01,Manitoba,"Salad dressing, 475 millilitres",2.68
2018-02-01,Manitoba,"Salad greens, 142 grams",4.01
2018-02-01,Manitoba,"Salmon, per kilogram",18.59
2018-02-01,Manitoba,"Salsa, 418 millilitres",3.1
2018-02-01,Manitoba,"Shampoo, 400 millilitres",4.89
2018-02-01,Manitoba,"Shrimp, 300 grams",7.58
2018-02-01,Manitoba,"Soy milk, 1.89 litres",3.66
2018-02-01,Manitoba,"Squash, per kilogram",3.37
2018-02-01,Manitoba,"Strawberries, 454 grams",3.81
2018-02-01,Manitoba,"Sunflower seeds, 400 grams ",3.63
2018-02-01,Manitoba,"Sweet potatoes, per kilogram",3.34
2018-02-01,Manitoba,Tea (20 bags),3.5
2018-02-01,Manitoba,"Tofu, 350 grams ",1.99
2018-02-01,Manitoba,"Tomatoes, per kilogram",4.63
2018-02-01,Manitoba,"Toothpaste, 100 millilitres",2.76
2018-02-01,Manitoba,"Vegetable oil, 3 litres",9.06
2018-02-01,Manitoba,"Wheat flour, 2.5 kilograms",4.23
2018-02-01,Manitoba,"White bread, 675 grams",2.53
2018-02-01,Manitoba,"White rice, 2 kilograms",6.68
2018-02-01,Manitoba,"White sugar, 2 kilograms",2.92
2018-02-01,Manitoba,"Whole chicken, per kilogram",6.53
2018-02-01,Manitoba,"Wieners, 400 grams",3.35
2018-02-01,Manitoba,"Yogurt, 500 grams",2.68
2018-02-01,New Brunswick,"Almonds, 200 grams",5.21
2018-02-01,New Brunswick,"Apple juice, 2 litres",3.09
2018-02-01,New Brunswick,"Apples, per kilogram",4.92
2018-02-01,New Brunswick,"Avocado, unit",1.4
2018-02-01,New Brunswick,"Baby food, 128 millilitres",1.33
2018-02-01,New Brunswick,"Bacon, 500 grams",5.19
2018-02-01,New Brunswick,"Bananas, per kilogram",1.97
2018-02-01,New Brunswick,"Beef rib cuts, per kilogram",23.26
2018-02-01,New Brunswick,"Beef stewing cuts, per kilogram",11.17
2018-02-01,New Brunswick,"Beef striploin cuts, per kilogram",17.31
2018-02-01,New Brunswick,"Beef top sirloin cuts, per kilogram",14.67
2018-02-01,New Brunswick,"Block cheese, 500 grams",5.86
2018-02-01,New Brunswick,"Broccoli, unit",2.26
2018-02-01,New Brunswick,"Brown rice, 900 grams ",4.77
2018-02-01,New Brunswick,"Butter, 454 grams",4.56
2018-02-01,New Brunswick,"Cabbage, per kilogram",2.31
2018-02-01,New Brunswick,"Canned baked beans, 398 millilitres",1.4
2018-02-01,New Brunswick,"Canned beans and lentils, 540 millilitres",1.32
2018-02-01,New Brunswick,"Canned corn, 341 millilitres",1.08
2018-02-01,New Brunswick,"Canned peach, 398 millilitres",2.05
2018-02-01,New Brunswick,"Canned pear, 398 millilitres",2.01
2018-02-01,New Brunswick,"Canned salmon, 213 grams",2.41
2018-02-01,New Brunswick,"Canned soup, 284 millilitres",0.81
2018-02-01,New Brunswick,"Canned tomatoes, 796 millilitres",1.23
2018-02-01,New Brunswick,"Canned tuna, 170 grams",2.07
2018-02-01,New Brunswick,"Canola oil, 3 litres",9.66
2018-02-01,New Brunswick,"Cantaloupe, unit",2.64
2018-02-01,New Brunswick,"Carrots, 1.36 kilograms",2.29
2018-02-01,New Brunswick,"Celery, unit",2.84
2018-02-01,New Brunswick,"Cereal, 400 grams",3.12
2018-02-01,New Brunswick,"Chicken breasts, per kilogram",10.08
2018-02-01,New Brunswick,"Chicken drumsticks, per kilogram",5.56
2018-02-01,New Brunswick,"Chicken thigh, per kilogram",7.04
2018-02-01,New Brunswick,"Cookies and sweet biscuits, 300 grams ",2.49
2018-02-01,New Brunswick,"Crackers and crisp breads, 200 grams ",2.5
2018-02-01,New Brunswick,"Cream, 1 litre",3.97
2018-02-01,New Brunswick,"Cucumber, unit",1.76
2018-02-01,New Brunswick,"Deodorant, 85 grams",4.86
2018-02-01,New Brunswick,"Dried lentils, 900 grams",3.43
2018-02-01,New Brunswick,"Dry beans and legumes, 900 grams ",3.69
2018-02-01,New Brunswick,"Dry or fresh pasta, 500 grams",1.97
2018-02-01,New Brunswick,"Eggs, 1 dozen",3.59
2018-02-01,New Brunswick,"Flatbread and pita, 500 grams ",3.78
2018-02-01,New Brunswick,"Frozen broccoli, 500 grams",2.68
2018-02-01,New Brunswick,"Frozen corn, 750 grams ",2.57
2018-02-01,New Brunswick,"Frozen french fried potatoes, 750 grams",2.01
2018-02-01,New Brunswick,"Frozen green beans, 750 grams",3.3
2018-02-01,New Brunswick,"Frozen mixed vegetables, 750 grams ",3.15
2018-02-01,New Brunswick,"Frozen peas, 750 grams",2.64
2018-02-01,New Brunswick,"Frozen pizza, 390 grams",3.95
2018-02-01,New Brunswick,"Frozen spinach, 300 grams",1.98
2018-02-01,New Brunswick,"Frozen strawberries, 600 grams",3.92
2018-02-01,New Brunswick,"Grapes, per kilogram",5.24
2018-02-01,New Brunswick,"Ground beef, per kilogram",8.45
2018-02-01,New Brunswick,"Hummus, 227 grams",3.51
2018-02-01,New Brunswick,"Iceberg lettuce, unit",2.25
2018-02-01,New Brunswick,"Infant formula, 900 grams ",22.85
2018-02-01,New Brunswick,"Ketchup, 1 litre",3.7
2018-02-01,New Brunswick,"Laundry detergent, 4.43 litres",11.55
2018-02-01,New Brunswick,"Lemons, unit",0.98
2018-02-01,New Brunswick,"Limes, unit",0.76
2018-02-01,New Brunswick,"Margarine, 907 grams",4.46
2018-02-01,New Brunswick,"Mayonnaise, 890 millilitres ",4.37
2018-02-01,New Brunswick,"Meatless burgers, 226 grams",4
2018-02-01,New Brunswick,"Milk, 1 litre",2.24
2018-02-01,New Brunswick,"Milk, 2 litres",3.74
2018-02-01,New Brunswick,"Milk, 4 litres",6.79
2018-02-01,New Brunswick,"Mushrooms, 227 grams",1.91
2018-02-01,New Brunswick,"Nut milk, 1.89 litres",3.71
2018-02-01,New Brunswick,"Olive oil, 1 litre",8.7
2018-02-01,New Brunswick,"Onions, 1.36 kilograms",2.85
2018-02-01,New Brunswick,"Onions, per kilogram",4.84
2018-02-01,New Brunswick,"Orange juice, 2 litres",3.88
2018-02-01,New Brunswick,"Oranges, 1.36 kilograms",5.73
2018-02-01,New Brunswick,"Oranges, per kilogram",4.06
2018-02-01,New Brunswick,"Pasta sauce, 650 millilitres",1.89
2018-02-01,New Brunswick,"Peanut butter, 1 kilogram",4.85
2018-02-01,New Brunswick,"Peanuts, 450 grams",3.08
2018-02-01,New Brunswick,"Pears, per kilogram",4.64
2018-02-01,New Brunswick,"Peppers, per kilogram",7.85
2018-02-01,New Brunswick,"Pork loin cuts, per kilogram",5.72
2018-02-01,New Brunswick,"Pork rib cuts, per kilogram",8.22
2018-02-01,New Brunswick,"Pork shoulder cuts, per kilogram",5.58
2018-02-01,New Brunswick,"Potatoes, 4.54 kilograms",3.67
2018-02-01,New Brunswick,"Potatoes, per kilogram",4.34
2018-02-01,New Brunswick,"Roasted or ground coffee, 340 grams",5.76
2018-02-01,New Brunswick,"Romaine lettuce, unit",2.49
2018-02-01,New Brunswick,"Salad dressing, 475 millilitres",2.66
2018-02-01,New Brunswick,"Salad greens, 142 grams",4.1
2018-02-01,New Brunswick,"Salmon, per kilogram",19.7
2018-02-01,New Brunswick,"Salsa, 418 millilitres",2.88
2018-02-01,New Brunswick,"Shampoo, 400 millilitres",5.18
2018-02-01,New Brunswick,"Shrimp, 300 grams",6.62
2018-02-01,New Brunswick,"Soy milk, 1.89 litres",3.79
2018-02-01,New Brunswick,"Squash, per kilogram",4.31
2018-02-01,New Brunswick,"Strawberries, 454 grams",2.77
2018-02-01,New Brunswick,"Sunflower seeds, 400 grams ",4.58
2018-02-01,New Brunswick,"Sweet potatoes, per kilogram",4.36
2018-02-01,New Brunswick,Tea (20 bags),3.55
2018-02-01,New Brunswick,"Tofu, 350 grams ",2.02
2018-02-01,New Brunswick,"Tomatoes, per kilogram",5.48
2018-02-01,New Brunswick,"Toothpaste, 100 millilitres",3.01
2018-02-01,New Brunswick,"Vegetable oil, 3 litres",7.48
2018-02-01,New Brunswick,"Wheat flour, 2.5 kilograms",4.83
2018-02-01,New Brunswick,"White bread, 675 grams",2.78
2018-02-01,New Brunswick,"White rice, 2 kilograms",9.21
2018-02-01,New Brunswick,"White sugar, 2 kilograms",2.44
2018-02-01,New Brunswick,"Whole chicken, per kilogram",4.81
2018-02-01,New Brunswick,"Wieners, 400 grams",3.03
2018-02-01,New Brunswick,"Yogurt, 500 grams",2.94
2018-02-01,Nova Scotia,"Almonds, 200 grams",5.28
2018-02-01,Nova Scotia,"Apple juice, 2 litres",3.05
2018-02-01,Nova Scotia,"Apples, per kilogram",4.9
2018-02-01,Nova Scotia,"Avocado, unit",1.35
2018-02-01,Nova Scotia,"Baby food, 128 millilitres",1.33
2018-02-01,Nova Scotia,"Bacon, 500 grams",5.19
2018-02-01,Nova Scotia,"Bananas, per kilogram",1.97
2018-02-01,Nova Scotia,"Beef rib cuts, per kilogram",21.96
